Catalyst,Num_Common_Descriptors_RNN,Spearman_Correlation_RNN (%),Avg_Importance_Diff_RNN (%),Num_Common_Descriptors_Trans,Spearman_Correlation_Trans (%),Avg_Importance_Diff_Trans (%),Num_Common_Descriptors_NewTrans,Spearman_Correlation_NewTrans (%),Avg_Importance_Diff_NewTrans (%)
All_Catalysts,106,37.26363526583947,1.1342179386792453,106,17.073686883996565,1.2133996481132077,106,44.748708962202464,1.1182974820754716
VO(acac)2,106,24.83711861541414,1.094690962264151,106,22.73187665288142,0.8988176009433961,106,30.330500107882248,1.005129596226415
VOSO4,106,28.970645144540274,0.8942617839622641,106,22.737559310884993,0.9472565094339622,106,-1.4731007351046577,1.194898809433962
VO(OiPr)3,106,55.015799219540575,0.7961349471698114,106,51.19555856111753,0.7044628981132075,106,45.92401951247439,0.9923638367924533
