File Name,Validity Percentage,Uniqueness Percentage,Novelty Percentage vs Chemlb,Novelty Percentage vs ESA,RDKit Average Similarity,RDKit Std Deviation Similarity
01-RNN-Generated_SMILES.csv,16.60265879,76.8683274,99.60065079,100,96.87034252,15.54643891
02-Trn-Generated_SMILES.csv,28.33087149,53.02398332,99.24667651,100,85.68787658,41.58391842
03-GPT-Generated_SMILES.csv,0.295420975,25,99.98522895,100,25.72898584,17.65513566
Generated_SMILES-pur01.csv,64.7267356,89.57097216,95.25,100,91.83496367,27.97130328
