SMILES,BalabanJ_Lig,BertzCT_Lig,Chi0_Lig,Chi0n_Lig,Chi0v_Lig,Chi1_Lig,Chi1n_Lig,Chi1v_Lig,Chi2n_Lig,Chi2v_Lig,Chi3n_Lig,Chi3v_Lig,Chi4n_Lig,Chi4v_Lig,EState_VSA1_Lig,EState_VSA10_Lig,EState_VSA11_Lig,EState_VSA2_Lig,EState_VSA3_Lig,EState_VSA4_Lig,EState_VSA5_Lig,EState_VSA6_Lig,EState_VSA7_Lig,EState_VSA8_Lig,EState_VSA9_Lig,HallKierAlpha_Lig,HeavyAtomCount_Lig,HeavyAtomMolWt_Lig,Kappa1_Lig,Kappa2_Lig,Kappa3_Lig,MaxAbsEStateIndex_Lig,MaxAbsPartialCharge_Lig,MaxEStateIndex_Lig,MaxPartialCharge_Lig,MinAbsEStateIndex_Lig,MinAbsPartialCharge_Lig,MinEStateIndex_Lig,MinPartialCharge_Lig,MolLogP_Lig,MolMR_Lig,MolWt_Lig,NHOHCount_Lig,NOCount_Lig,NumAliphaticCarbocycles_Lig,NumAliphaticHeterocycles_Lig,NumAliphaticRings_Lig,NumAromaticCarbocycles_Lig,NumAromaticHeterocycles_Lig,NumAromaticRings_Lig,NumHAcceptors_Lig,NumHDonors_Lig,NumHeteroatoms_Lig,NumRadicalElectrons_Lig,NumRotatableBonds_Lig,NumSaturatedCarbocycles_Lig,NumSaturatedHeterocycles_Lig,NumSaturatedRings_Lig,NumValenceElectrons_Lig,PEOE_VSA1_Lig,PEOE_VSA10_Lig,PEOE_VSA11_Lig,PEOE_VSA12_Lig,PEOE_VSA13_Lig,PEOE_VSA14_Lig,PEOE_VSA2_Lig,PEOE_VSA3_Lig,PEOE_VSA4_Lig,PEOE_VSA5_Lig,PEOE_VSA6_Lig,PEOE_VSA7_Lig,PEOE_VSA8_Lig,PEOE_VSA9_Lig,SMR_VSA1_Lig,SMR_VSA10_Lig,SMR_VSA2_Lig,SMR_VSA3_Lig,SMR_VSA4_Lig,SMR_VSA5_Lig,SMR_VSA6_Lig,SMR_VSA7_Lig,SMR_VSA8_Lig,SMR_VSA9_Lig,SlogP_VSA1_Lig,SlogP_VSA10_Lig,SlogP_VSA11_Lig,SlogP_VSA12_Lig,SlogP_VSA2_Lig,SlogP_VSA3_Lig,SlogP_VSA4_Lig,SlogP_VSA5_Lig,SlogP_VSA6_Lig,SlogP_VSA7_Lig,SlogP_VSA8_Lig,SlogP_VSA9_Lig,TPSA_Lig,VSA_EState1_Lig,VSA_EState10_Lig,VSA_EState2_Lig,VSA_EState3_Lig,VSA_EState4_Lig,VSA_EState5_Lig,VSA_EState6_Lig,VSA_EState7_Lig,VSA_EState8_Lig,VSA_EState9_Lig
"C(=O)(C1C=CC(=CC=1)C)N1CCC(CC1)NC(=O)C(CC1C=CC=CC=1F)NC(C)=O	MCULE-6025167268
",1.562780295325627,937.3406371170238,22.38010440969447,17.858959537729774,17.858959537729774,14.829407595892896,10.50045814198891,10.50045814198891,7.9897314985418095,7.9897314985418095,5.502930028246732,5.502930028246732,3.745892391404488,3.745892391404488,11.859061670193856,18.774026599890284,0.0,30.184201640128485,37.05805904107116,5.563451491696996,12.990104268152232,23.099010936235302,31.189205473537065,10.633577208012662,0.0,-3.22,31.0,397.28000000000014,22.464874664035023,10.19622774564434,6.133227645081898,14.008283745215271,0.3514397279506493,14.008283745215271,0.2533516407626618,0.013470171677727,0.2533516407626618,-0.8596111657656362,-0.3514397279506493,2.6023200000000006,115.95590000000006,425.5040000000001,2.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,7.0,0.0,6.0,0.0,1.0,1.0,164.0,15.533486938863138,11.859061670193856,0.0,11.814359458703011,5.907179729351506,0.0,14.383611552215466,4.39041504767482,0.0,0.0,35.89528683400505,43.52793314262447,38.039363955286746,0.0,18.774026599890284,17.721539188054518,0.0,15.533486938863138,0.0,45.1936209264552,13.08951281182515,71.03851186382977,0.0,0.0,10.633577208012662,4.39041504767482,0.0,0.0,47.794643389026064,16.00989599106965,12.74095804073652,41.25027210470546,48.53093654769288,0.0,0.0,0.0,78.51,14.008283745215271,0.0,38.82296103582316,5.572468019296885,2.1256374637558064,-1.1196316150247794,12.729478110563187,1.313991318155036,4.38014525554877,0.0
"Cl.N1(C2=CC=CC(Cl)=C2)CCN(CC1)CC(O)COC1C=CC=CC=1C(C)CC	MCULE-9200467282
",2.999995247007729e-06,751.1626227886118,19.93251065250177,17.259352000638923,18.8317775275851,13.562881945713372,10.191320564510807,10.569285037520036,7.579477122677988,8.015912903149973,5.508111322608896,5.7432084253966345,3.637198344990172,3.8217267242178,6.103966387748303,5.106527394840706,0.0,12.407033161179976,19.069544416586886,49.05937866828511,5.563451491696996,0.0,36.39820241076966,35.78002799800542,16.337802844032566,-1.46,29.0,407.1710000000003,23.815397541359967,11.655188015928564,6.78344786174083,10.471038353932023,0.4905478642111826,10.471038353932023,0.1223952837123043,0.0,0.1223952837123043,-0.4974921264802221,-0.4905478642111826,4.837200000000005,124.00280000000004,439.4270000000001,1.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,1.0,6.0,0.0,8.0,0.0,1.0,1.0,160.0,14.743300079491233,18.460360185545124,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,12.407033161179976,49.7138825634602,42.16764743463084,43.43380161798776,0.0,9.843390348640757,29.695359326096053,0.0,4.899909730850478,0.0,32.29016845621695,44.23057372492627,59.1170213531312,0.0,5.749511833283905,9.636772684650529,5.687386274683562,5.749511833283905,24.00797305141249,55.44106750751527,0.0,0.0,31.749653560165648,48.53093654769288,5.022633313741326,0.0,0.0,35.94,5.965313835678645,6.102634763182795,4.64215281920594,11.239717249391864,2.3796472152394363,1.342209152251263,16.14167369899191,0.5717847345216847,9.059310975980909,0.0
"N1C(CNC(=O)C2=CC=CC=C2C)=CSC=1C1C=CC=CC=1	MCULE-6258519930
",1.665746949791091,780.5459578385526,15.363596551749426,12.244319649510492,13.06081623043822,10.737183443017882,7.074979933853282,7.954632745108177,5.00761998568268,5.865722837540699,3.39224270203545,4.332419493088571,2.1952129059244303,3.0210435254500405,0.0,4.794537184071822,0.0,5.907179729351506,12.10820789760957,21.828454675095216,0.0,11.336785877934735,66.90110358631102,10.30076712495354,0.0,-2.459999999999999,22.0,292.278,14.476134884117906,6.536540041411322,3.230555294184813,12.180129633273571,0.3463431077858899,12.180129633273571,0.2513675292693068,0.062628600823045,0.2513675292693068,-0.062628600823045,-0.3463431077858899,4.048520000000003,89.89920000000002,308.406,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,110.0,5.316788604006331,5.007623696852765,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.9839785209472085,0.0,11.336785877934735,48.53093654769288,18.553555759849232,16.506965753859905,12.238684400761036,4.794537184071822,17.243965607286242,0.0,10.30076712495354,0.0,13.4684936056032,0.0,76.79819736486287,0.0,10.57107518854976,5.316788604006331,0.0,0.0,11.336785877934735,10.891158250298714,6.544756405912575,6.923737199690624,21.615368162314272,59.9773663866204,0.0,10.57107518854976,0.0,41.99,0.0,1.5908604182413704,16.752478619164226,5.885574137062233,3.665770760975037,-0.062628600823045,17.62452810894279,0.0,2.376749889770723,0.0
"N1(C=NC(SCC(N)=O)=N1)C1=NC(NC)=NC(N2CCCC2)=N1	MCULE-6190507541
",1.858271131880636,697.5898493825947,16.2338400397525,12.637226193739425,13.45372277466715,11.152198343190411,7.174073239274552,8.159671798928041,4.929873095408246,5.872371736267982,3.243585840666793,4.117699008007501,2.1727535841117644,2.7114882867911057,5.907179729351506,4.794537184071822,0.0,5.752853606746789,23.00145432478019,25.93115605767717,22.77100795930084,7.04767198267719,0.0,35.25129422694668,5.733667477162185,-2.43,23.0,318.2610000000001,15.465103286207103,6.771197313159116,3.670492434375347,10.816867181193274,0.368947358901172,10.816867181193274,0.2582118007845908,0.1269931027966742,0.2582118007845908,-0.4163888888888889,-0.368947358901172,-0.3284,85.65610000000002,335.39700000000016,3.0,10.0,0.0,1.0,1.0,0.0,2.0,2.0,10.0,2.0,11.0,0.0,6.0,0.0,1.0,1.0,122.0,15.950365812018994,6.3273200747645415,0.0,22.960294773145204,5.948339280986494,0.0,4.794537184071822,4.9839785209472085,19.63373849798681,5.098681808301038,11.761884949391115,12.84164324585202,20.13718479450234,5.752853606746789,4.794537184071822,29.56574324071561,0.0,29.716398827235057,5.733667477162185,17.998079727672724,36.10673673610594,6.3273200747645415,0.0,5.948339280986494,15.950365812018994,11.896678561972989,0.0,11.761884949391115,61.51361695783569,4.794537184071822,0.0,12.84164324585202,11.483756556585249,0.0,5.948339280986494,0.0,127.74,1.4637084278155703,1.1686700050390524,30.21101152870883,7.630869309896186,5.116919336991557,1.1847737150415725,0.0,3.769969665673268,1.8684090952471184,1.7523355822535116
"N1(C2=CC=C(C=C2)C)C(=O)C2SCCC=2N=C1SC(C)C(OCC)=O	MCULE-9352425092
",2.0690557161678207,846.6350620660573,17.97432701575866,14.443740332827003,16.076733494682458,12.007239053047549,8.199760025104876,10.065011396013258,5.756897290628513,8.170026419403225,3.8594701989115823,5.997321980189677,2.5587414739877525,4.524478597902257,5.249938029982174,9.589074368143644,0.0,11.528572183003856,16.6588019218514,29.118440990901817,11.761884949391115,30.17645899656372,31.189205473537065,0.0,9.720841474747257,-1.7299999999999995,25.0,356.34300000000013,18.07283707623672,7.658788661821558,3.769316363539295,13.016691625724365,0.4651532860675388,13.016691625724365,0.3187391157539521,0.0602667286050218,0.3187391157539521,-0.4345791866129171,-0.4651532860675388,3.232820000000002,100.95100000000004,376.5030000000001,0.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,132.0,4.736862953800049,5.249938029982174,5.156436481820707,0.0,5.559266895052008,5.969305287951849,14.156174015934996,4.9839785209472085,0.0,11.761884949391115,29.45807057801133,32.903945735995094,12.1736752296728,22.88367970956272,9.53140013787187,29.49307518673408,0.0,9.551078168738565,0.0,42.49389120931853,12.359735571259709,45.87665183951572,0.0,5.687386274683562,5.559266895052008,0.0,0.0,23.52376989878223,33.13005705793229,15.95222176079788,6.923737199690624,25.104853885926705,39.11192541525674,0.0,5.687386274683562,0.0,61.190000000000005,6.689140941296425,2.8172925945707323,30.42197956923561,0.1030653712102123,2.651091864151028,0.5690751781020541,7.739841742252456,0.7830607258335434,5.892118680014604,0.0
"C12C(=CC=C(C)N=1)N=CN=C2NC(C)CCCC(C)(C)O	MCULE-3539055870
",2.0373179037596234,606.7387325517329,15.457819157813608,13.21957580231798,13.21957580231798,9.84915520981396,7.422942455608752,7.422942455608752,6.292688982028742,6.292688982028742,3.429974564111,3.429974564111,2.2897956327253075,2.2897956327253075,5.601050810983688,5.106527394840706,0.0,6.041840829147961,0.0,41.80765707669404,0.0,6.3273200747645415,32.903945735995094,27.19246136653858,0.0,-1.7500000000000002,21.0,264.203,15.635307117817408,6.347304404996713,4.633510606333754,9.741125856500137,0.3904719863137181,9.741125856500137,0.1557487385825085,0.2710761526832954,0.1557487385825085,-0.5972208260280951,-0.3904719863137181,3.074820000000002,85.30350000000004,288.395,2.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,114.0,10.423315998847038,11.844020792380803,5.817862777835028,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,0.0,59.09014780446374,11.735768823996422,11.11775152859995,5.106527394840706,16.85126421306755,0.0,14.951935562841626,0.0,58.60030530767217,5.316788604006331,24.15398220653622,0.0,0.0,5.316788604006331,5.817862777835028,0.0,0.0,31.70135459781398,0.0,6.923737199690624,45.727604462698366,18.46005421168776,0.0,11.033401435232523,0.0,70.93,0.0,0.0,13.069449185149267,13.14422581870724,2.017281702976824,0.7772765495086925,4.183126481002563,4.292236840723944,7.766403421931471,0.0
"C1(NC(COC2C(C)=CC(=CC=2C)C)=O)SC(=C(C)C=1C(OCC)=O)C(OCC)=O	MCULE-3435688959
",2.2338823146690734,939.7727441189168,22.42192077295136,18.133758915185936,18.950255496113662,14.18797826560017,9.671486056985511,10.48798263791324,6.765943813267096,7.786564539426753,4.292381175881825,5.4796685687081474,3.136814634200705,4.241707860901363,17.845790305255207,14.383611552215466,0.0,35.26232655562492,11.3129633249809,28.027140353025725,0.0,20.771211599071872,32.903945735995094,5.316788604006331,14.210588861400147,-2.87,30.0,406.3100000000002,23.40933889289848,10.246748278039057,5.384330161993383,12.526394400352732,0.4832144019206293,12.526394400352732,0.3481671074592311,0.1536574785510571,0.3481671074592311,-0.6081108276643994,-0.4832144019206293,4.352680000000005,115.74670000000006,433.5260000000003,1.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,8.0,0.0,8.0,0.0,0.0,0.0,162.0,19.52737746540648,15.627741003673073,6.606881964512918,0.0,5.907179729351506,11.9386105759037,4.794537184071822,9.589074368143644,0.0,11.336785877934735,17.696185628620217,58.23277767323472,0.0,18.77721542072284,28.59420041361561,34.18365815987781,0.0,0.0,0.0,41.54242319814374,25.137434497545087,44.8271387891095,0.0,5.749511833283905,10.05365155780638,5.001081976687867,5.749511833283905,11.336785877934735,37.66643619879396,14.26826309167192,27.694948798762496,56.13095341971117,12.13273413692322,0.0,0.0,0.0,90.93,15.846381168044571,0.9837486183382644,37.398776590344674,2.9106598009574203,3.5498919312006585,-0.9546629730509042,3.9590205941275705,0.0,10.97285093670441,0.0
"C12N(C)C(=O)N(C(=O)C=1N1C(N(CC(OC)=O)N=C(C)C1)=N2)CC=CC	MCULE-3481764296
",2.272281080454966,1055.345101123551,19.007707210578264,15.092295616794097,15.092295616794097,12.383447812959856,8.082748416615221,8.082748416615221,5.965602538115309,5.965602538115309,4.1517591555844895,4.1517591555844895,2.882830050123136,2.882830050123136,17.218315581207328,14.383611552215466,0.0,18.73669003259288,23.72148140728603,4.567099647791355,16.68580971302342,30.690549043826927,6.923737199690624,10.085386046686931,4.736862953800049,-3.170000000000001,26.0,340.2140000000001,17.64655539586222,6.618500302108385,2.7245714821821383,12.937048689846309,0.4676328915461531,12.937048689846309,0.3322710739496857,0.141000696383543,0.3322710739496857,-0.4847787354407116,-0.4676328915461531,-0.1582999999999994,96.51900000000003,360.37400000000014,0.0,10.0,0.0,1.0,1.0,0.0,2.0,2.0,10.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,138.0,4.736862953800049,6.544756405912575,11.16387793838399,5.948339280986494,5.559266895052008,11.659048686155325,23.29037331151771,9.803449708026353,10.085386046686931,0.0,12.152040213667762,13.847474399381248,13.592428388589765,19.36623894996081,9.53140013787187,28.79320751009304,0.0,18.68527746432127,12.149079508416913,26.9369872112064,18.66346647114464,32.99012487506689,0.0,0.0,16.257922817210012,5.948339280986494,0.0,0.0,44.02082170223393,29.668584932374213,0.0,13.847474399381248,26.84252210755113,0.0,11.16387793838399,0.0,103.72,8.853202364782833,0.0,41.53355037001644,5.698790650136701,0.386153811833377,-0.1589605717554847,0.0,3.509141134121744,3.99450405421365,2.8502848533174108
"C1(SC=C(C2C=CC=CC=2)N=1)NC(CSC1=NC=C(C(N)=N1)C#N)=O	MCULE-4963374009
",1.573030762881698,935.2980408641976,17.6480536021256,12.839508188094978,14.47250134995043,12.152198343190411,7.116851903833832,8.982103274742213,4.804070927287213,6.604672420004966,3.069041246229121,4.688183815829982,1.891826832586728,3.250189127247173,0.0,4.794537184071822,0.0,23.04134760563032,10.28799496166004,23.01926443593657,17.533629449547814,0.0,41.78111942556624,20.26872416684796,10.995559031900672,-2.9600000000000004,25.0,356.3510000000001,16.882398000005534,7.740358799078379,4.315729426281526,12.035152273872509,0.3824603133780619,12.035152273872509,0.2361327068878898,0.1044764286385169,0.2361327068878898,-0.217136269631309,-0.3824603133780619,2.78478,98.06310000000002,368.4470000000001,3.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,2.0,9.0,0.0,5.0,0.0,0.0,0.0,124.0,11.050456081168516,17.450535582324296,10.28799496166004,5.907179729351506,0.0,0.0,4.794537184071822,14.951935562841626,5.261891554738487,11.336785877934735,42.09372029169917,0.0,10.94351426216291,17.643625173208328,4.794537184071822,39.95527181435172,5.261891554738487,14.951935562841626,0.0,5.156436481820707,16.803309687915306,47.47219317608403,0.0,17.32660079933773,11.050456081168516,10.94942125767436,0.0,23.09867082732585,26.61196889893992,4.794537184071822,11.33111286753076,5.563451491696996,47.065178166207744,0.0,11.257379486545457,0.0,117.57999999999998,0.0,2.4996465780858816,24.407761489598816,14.303978343850329,7.648907641304863,0.0039974561853382,11.626250522729828,1.3427913015782784,0.0,0.0
"C1(=CC=CNC1=O)C1=CC=C(CN2CCN(CC2)CCOC)O1	MCULE-8002516353
",1.56160980813369,671.4731577136447,16.07070333293597,13.45567087664547,13.45567087664547,11.25835149307306,7.964916385828025,7.964916385828025,5.789467227059817,5.789467227059817,4.20127373376669,4.20127373376669,2.8350375873599902,2.8350375873599902,0.0,4.794537184071822,0.0,5.559266895052008,11.323698910571435,51.63566781886281,0.0,25.439375249813832,12.13273413692322,14.783797982648164,9.154013890853395,-1.89,23.0,294.20500000000004,15.984994218945344,7.588106584809493,4.099620416206467,11.799609165662902,0.4595183565773174,11.799609165662902,0.2584832660025038,0.124854261157888,0.2584832660025038,-0.124854261157888,-0.4595183565773174,1.3988999999999998,88.35770000000004,317.38900000000007,1.0,6.0,0.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,124.0,14.137992411800605,11.520494837748885,0.0,0.0,5.559266895052008,0.0,14.594356645772775,0.0,0.0,0.0,0.0,24.26546827384644,46.030423142453486,18.71508986212249,9.154013890853395,0.0,0.0,14.783797982648164,0.0,6.544756405912575,46.44046153535332,46.57636334345779,0.0,11.323698910571435,5.559266895052008,0.0,0.0,0.0,61.22425951800149,11.281619359712623,0.0,5.760247418874442,39.67399996658469,0.0,11.323698910571435,0.0,61.71000000000001,10.972884839837748,0.0,19.258385690221008,0.0,0.4474928871032768,1.5223843618536084,7.404761357396535,1.623759654558543,6.698353463242428,1.73864441245352
